id,name,party,sector,country,type
ul,Ursula von der Leyen,cdu,1,belgium,1
lk,Lars Klingbeil,spd,1,germany,1
nr,Norbert Röttgen,cdu,1,germany,1
sw,Sahra Wagenknecht,linke,1,germany,1
cs,Constanze Stelzenmüller,,2,germany,1
cl,Christian Lindner,fdp,1,germany,1
ks,Karl Schlögel,NA,3,germany,1
lm,Ljudmyla Melnyk,NA,3,ukraine,1
kd,Kristina Dunz,NA,2,germany,1
el,Egils Levits,NA,1,latvia,1
ab,Annalena Baerbock,grüne,1,germany,1
ft,Frans Timmermans,,1,germany,1
am,Andrij Melnyk,NA,2,ukraine,1
agl,Alexander Graf Lambsdorff,fdp,1,germany,1
er,Egon Ramms,NA,4,germany,1
rh,Robert Habeck,grüne,1,germany,1
cm,Claudia Major,NA,2,germany,1
kp,Katja Petrowskaja,NA,2,ukraine,1
rk,Roderich Kiesewetter,cdu,1,germany,1
cl,Christine Lambrecht,spd,1,germany,1
sb,Stefanie Babst,NA,2,germany,1
ch,Christoph Heusgen,,3,germany,1
mw,Marina Weisband,NA,2,ukraine,1
os,Olaf Scholz,spd,1,germany,1
500,fünfhundert,NA,0,NA,2
501,fünfhunderteins,NA,0,NA,2
502,fünfhundertzwei,NA,0,NA,2
503,fünfhundertdrei,NA,0,NA,2
504,fünfhundertvier,NA,0,NA,2
505,fünfhundertfünf,NA,0,NA,2